"","SITEVISITIDREPDIVER","X.1","SITE","ISLAND","X","SITEVISITID","METHOD","OBS_YEAR","REGION","REGION_NAME","ANALYSIS_SEC","ANALYSIS_YEAR","ANALYSIS_STRATA","SEC_NAME","DATE_","REEF_ZONE","DEPTH_BIN","DEPTH_BIN_new","LATITUDE","LONGITUDE","DEPTH","HARD_CORAL","SOFT_CORAL","MA","CCA","TA","SAND","CYANO","OTHER_BENTHIC","ComplexityValue","MEAN_SH","SD_SH_DIFF","MAX_HEIGHT","nCounts","nReps","REP","DIVER","PISCIVORE","PLANKTIVORE","PRIMARY","SECONDARY","UNKNOWN","TotFish","ECOREGION","POP_STATUS","SITE_SLOPE_400m","REPLICATEID","PISCIVORE_SJs"
"1","2007AEMD",1591,"JOH-00106","Johnston",4,2007,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Johnston","2010","ForereefMid","Johnston","25/01/2010","Forereef","Mid","Mid",16.77455,-169.50465,13,10,0,3,5,73.25,8.75,NA,0,2.25,NA,NA,NA,4,2,"A","EMD",16.57035647,7.099662767,15.02495075,4.706272095,0,43.40124208,"Hawaii","U",8.70466451,"1845951297",51.7921313772666
"2","2007APMA",1592,"JOH-00106","Johnston",3,2007,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Johnston","2010","ForereefMid","Johnston","25/01/2010","Forereef","Mid","Mid",16.77455,-169.50465,13,10,0,3,5,73.25,8.75,NA,0,2.25,NA,NA,NA,4,2,"A","PMA",47.05893357,0.720784631,32.14933924,2.809410395,0,82.73846784,"Hawaii","U",8.70466451,"1845951305",60.0076422241293
"3","2007BEMD",1589,"JOH-00106","Johnston",2,2007,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Johnston","2010","ForereefMid","Johnston","25/01/2010","Forereef","Mid","Mid",16.77455,-169.50465,13,10,0,3,5,73.25,8.75,NA,0,2.25,NA,NA,NA,4,2,"B","EMD",0.475342763,25.97421488,12.07035413,3.469573323,0,41.9894851,"Hawaii","U",8.70466451,"1845951298",0.475342763367794
"4","2007BPMA",1590,"JOH-00106","Johnston",1,2007,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Johnston","2010","ForereefMid","Johnston","25/01/2010","Forereef","Mid","Mid",16.77455,-169.50465,13,10,0,3,5,73.25,8.75,NA,0,2.25,NA,NA,NA,4,2,"B","PMA",2.187234382,67.62514088,14.64671069,15.11501439,0,99.57410034,"Hawaii","U",8.70466451,"1845951308",2.18723438215803
"5","2010AEMD",1599,"JOH-00112","Johnston",6,2010,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Johnston","2010","ForereefDeep","Johnston","25/01/2010","Forereef","Deep","Deep",16.76768,-169.52347,24,6,0,4,3.5,79,7.5,NA,0,1.5,NA,NA,NA,2,1,"A","EMD",0,0.510912724,15.72308114,10.22471225,0,26.45870611,"Hawaii","U",10.68625756,"1845951300",0
"6","2010APMA",1600,"JOH-00112","Johnston",5,2010,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Johnston","2010","ForereefDeep","Johnston","25/01/2010","Forereef","Deep","Deep",16.76768,-169.52347,24,6,0,4,3.5,79,7.5,NA,0,1.5,NA,NA,NA,2,1,"A","PMA",1.604158899,1.13529168,10.32149222,6.725422475,0,19.78636527,"Hawaii","U",10.68625756,"1845951315",1.60415889929646
"7","2011AJLG",1593,"JOH-00110","Johnston",10,2011,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Johnston","2010","ForereefDeep","Johnston","24/01/2010","Forereef","Deep","Mid",16.7124,-169.56126,20,16.25,0,2.5,16.25,52.5,12.5,NA,0,2,NA,NA,NA,4,2,"A","JLG",38.34943335,14.18677397,54.57848795,2.318900288,0,109.4335956,"Hawaii","U",8.780356308,"1845951303",245.862470504189
"8","2011AKMO",1594,"JOH-00110","Johnston",7,2011,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Johnston","2010","ForereefDeep","Johnston","24/01/2010","Forereef","Deep","Mid",16.7124,-169.56126,20,16.25,0,2.5,16.25,52.5,12.5,NA,0,2,NA,NA,NA,4,2,"A","KMO",1.493403883,10.15992151,21.38487574,12.35021262,0,45.38841374,"Hawaii","U",8.780356308,"1845951301",369.860342079371
"9","2011BJLG",1595,"JOH-00110","Johnston",8,2011,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Johnston","2010","ForereefDeep","Johnston","24/01/2010","Forereef","Deep","Mid",16.7124,-169.56126,20,16.25,0,2.5,16.25,52.5,12.5,NA,0,2,NA,NA,NA,4,2,"B","JLG",4.497421654,19.55992025,15.84249627,3.339091165,0,43.23892934,"Hawaii","U",8.780356308,"1845951306",24.2447341627645
"10","2011BKMO",1596,"JOH-00110","Johnston",9,2011,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Johnston","2010","ForereefDeep","Johnston","24/01/2010","Forereef","Deep","Mid",16.7124,-169.56126,20,16.25,0,2.5,16.25,52.5,12.5,NA,0,2,NA,NA,NA,4,2,"B","KMO",5.753679521,8.846470906,24.13596962,2.007398331,0,40.74351837,"Hawaii","U",8.780356308,"1845951307",200.235332534059
"11","2015AJLG",1597,"JOH-00111","Johnston",11,2015,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Johnston","2010","ForereefDeep","Johnston","25/01/2010","Forereef","Deep","Mid",16.73732,-169.55008,20,27.5,0,7.5,5,45,15,NA,0,2.5,NA,NA,NA,2,1,"A","JLG",1.096400719,0.959494951,8.280738943,7.796402753,0,18.13303737,"Hawaii","U",7.777586411,"1845951321",94.6912307623767
"12","2015AKMO",1598,"JOH-00111","Johnston",12,2015,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Johnston","2010","ForereefDeep","Johnston","25/01/2010","Forereef","Deep","Mid",16.73732,-169.55008,20,27.5,0,7.5,5,45,15,NA,0,2.5,NA,NA,NA,2,1,"A","KMO",0.322575239,2.399091182,2.674737325,1.053514276,0,6.449918022,"Hawaii","U",7.777586411,"1845951312",54.5154914167939
"13","2030AJLG",1601,"JOH-00114","Johnston",13,2030,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Johnston","2010","ForereefDeep","Johnston","26/01/2010","Forereef","Deep","Deep",16.782,-169.43864,27,25,0,7.5,52.5,5,10,NA,0,2,NA,NA,NA,2,1,"A","JLG",2.025711214,1.315361407,6.36560852,3.353556054,0,13.0602372,"Hawaii","U",13.06258407,"1845951345",2.02571121351292
"14","2030AKMO",1602,"JOH-00114","Johnston",14,2030,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Johnston","2010","ForereefDeep","Johnston","26/01/2010","Forereef","Deep","Deep",16.782,-169.43864,27,25,0,7.5,52.5,5,10,NA,0,2,NA,NA,NA,2,1,"A","KMO",3.104950135,0.516533477,6.645613056,1.788754634,0,12.0558513,"Hawaii","U",13.06258407,"1845951347",3.10495013482642
"15","2069AEMD",1289,"HOW-00108","Howland",16,2069,"nSPC",2010,"PRIAs","Pacific Remote Island Areas","Howland","2010","ForereefDeep","Howland","03/02/2010","Forereef","Deep","Mid",0.81498,-176.62407,20,11.5,25,0,21,8.75,8.75,NA,0,2,NA,NA,NA,4,2,"A","EMD",40.65107198,37.85916273,8.792436941,15.74867504,0,103.0513467,"Phoenix/Tokelau/Northern Cook Islands","U",43.37228074,"1845951449",135.309540204919
